date,material_id,transaction_type,quantity,unit,supplier_id,unit_price,po_number
2023-10-25,M11,receipt,395,KG,SUP05,24807,PUR52003
2023-09-15,M06,return,151,kgs,,21556,
2023-08-20,M02,issue,33,nos,,23086,
2023-09-30,M14,issue,19,pcs,,22979,
2023-02-03,M10,issue,466,KG,,24233,
2023-07-20,M08,issue,157,KG,,25545,
2023-05-22,M02,issue,45,rolls,,21535,
2023-04-15,M08,issue,497,kilograms,,24189,
2023-10-05,M01,issue,31,Rolls,,22270,
2023-11-27,M07,issue,159,kg,,22153,
2023-04-29,M02,issue,42,pcs,,22304,
2023-11-27,M07,receipt,258,Kg,SUP03,23809,PUR70031
2023-06-06,M05,receipt,17,Rolls,SUP02,22815,PUR58745
2023-01-25,M05,receipt,23,Rolls,SUP02,23051,PUR31805
2023-10-02,M10,return,103,Kg,,24599,
2023-03-20,M03,receipt,16,Rolls,SUP01,21138,PUR51500
2023-05-14,M10,issue,104,Kg,,21453,
2023-06-12,M09,receipt,85,Kg,SUP05,22584,PUR80761
2023-03-04,M03,receipt,26,rolls,SUP09,24473,PUR29055
2023-03-21,M08,return,388,kg,,23857,
2023-06-01,M09,issue,468,kgs,,22244,
2023-10-21,M13,writeoff,37,Rolls,,24531,
2023-02-27,M08,issue,470,kgs,,21784,
2023-03-01,M03,receipt,2,roll,SUP01,22305,PUR68454
2023-01-29,M06,issue,338,kilograms,,22132,
2023-05-23,M10,receipt,21,KG,SUP05,20955,PUR98744
2023-09-20,M11,writeoff,109,kgs,,23764,
2023-09-19,M06,receipt,475,kg,SUP03,24064,PUR62108
2023-08-07,M03,receipt,25,roll,SUP01,22187,PUR47309
2023-08-17,M06,issue,54,kilograms,,22216,
2023-08-01,M12,return,157,kgs,,21757,
2023-08-06,M13,receipt,9,nos,SUP07,24969,PUR28827
2023-09-26,M04,issue,5,roll,,24918,
2023-02-15,M10,receipt,219,kg,SUP05,23229,PUR64331
2023-10-18,M03,receipt,13,Rolls,SUP09,21421,PUR47940
2023-06-04,M09,receipt,165,kilograms,SUP05,23080,PUR39428
2023-03-20,M01,receipt,20,roll,SUP08,24765,PUR26276
2023-05-28,M11,receipt,101,kgs,SUP05,23770,PUR13728
2023-09-10,M02,receipt,39,rolls,SUP09,23982,PUR86161
2023-05-13,M08,receipt,365,kgs,SUP04,24971,PUR58916
2023-01-09,M09,receipt,93,Kg,SUP05,23439,PUR29154
2023-03-11,M06,receipt,93,Kg,SUP03,21549,PUR57338
2023-07-02,M07,receipt,158,kg,SUP03,22573,PUR77353
2023-04-04,M04,receipt,39,rolls,SUP02,24178,PUR81265
2023-06-04,M06,return,360,Kg,,24191,
2023-10-01,M12,issue,190,kilograms,,24459,
2023-09-23,M03,issue,24,roll,,23849,
2023-03-25,M08,issue,121,kg,,22253,
2023-04-07,M09,issue,324,kilograms,,23881,
2023-09-30,M14,writeoff,45,pcs,,24225,
2023-08-24,M13,issue,8,rolls,,24900,
2023-09-03,M03,return,20,roll,,23490,
2023-08-15,M06,issue,277,kilograms,,24460,
2023-06-05,M06,issue,391,kg,,24669,
2023-03-14,M02,issue,20,Rolls,,21442,
2023-02-10,M04,issue,45,nos,,24221,
2023-01-10,M13,issue,49,nos,,23313,
2023-01-17,M01,issue,38,pcs,,21092,
2023-05-10,M08,issue,43,kg,,22855,
2023-02-19,M11,issue,481,kg,,24220,
2023-04-13,M04,receipt,43,Rolls,SUP02,22535,PUR21898
2023-05-23,M03,receipt,23,pcs,SUP01,22102,PUR75619
2023-05-04,M13,receipt,37,pcs,SUP07,21826,PUR85777
2023-04-22,M13,issue,19,Rolls,,22250,
2023-02-20,M13,receipt,33,Rolls,SUP07,25033,PUR58033
2023-08-14,M12,receipt,102,kg,SUP06,24506,PUR59756
2023-04-27,M07,issue,67,kgs,,24497,
2023-02-26,M06,issue,79,kilograms,,23363,
2023-05-28,M13,issue,47,pcs,,21713,
2023-03-01,M02,issue,19,nos,,22800,
2023-08-16,M10,receipt,293,KG,SUP05,22281,PUR66093
2023-09-01,M04,return,12,roll,,21148,
2023-02-23,M11,receipt,234,kgs,SUP05,23896,PUR25626
2023-10-30,M03,issue,48,rolls,,24449,
2023-04-12,M03,issue,13,roll,,23096,
2023-03-04,M14,writeoff,28,Rolls,,24098,
2023-10-25,M08,issue,149,kilograms,,24717,
2023-07-24,M13,receipt,31,roll,SUP07,24277,PUR73508
2023-08-21,M09,issue,72,kg,,22083,
2023-11-18,M08,receipt,25,KG,SUP04,22027,PUR18942
2023-04-02,M08,receipt,319,kgs,SUP04,24402,PUR30019
2023-02-19,M05,receipt,43,rolls,SUP02,24965,PUR71082
2023-09-12,M04,issue,33,nos,,22167,
2023-10-04,M09,issue,19,kilograms,,24958,
2023-08-09,M13,issue,25,rolls,,23390,
2023-08-15,M06,return,28,kgs,,21467,
2023-06-05,M03,receipt,32,Rolls,SUP01,22424,PUR50954
2023-02-26,M12,issue,355,kilograms,,23096,
2023-10-04,M11,receipt,250,kilograms,SUP05,23705,PUR76412
2023-09-11,M01,issue,25,pcs,,23376,
2023-05-26,M11,issue,41,Kg,,21871,
2023-07-07,M10,issue,424,Kg,,23652,
2023-11-17,M10,issue,204,Kg,,21011,
2023-07-02,M07,issue,189,kgs,,21610,
2023-05-01,M11,issue,313,Kg,,22103,
2023-06-06,M12,issue,182,kg,,21782,
2023-01-20,M01,receipt,43,nos,SUP08,24386,PUR84455
2023-05-17,M09,return,366,kg,,22980,
2023-06-12,M10,issue,302,kgs,,22211,
2023-09-08,M06,receipt,363,kg,SUP03,24098,PUR54035
2023-06-23,M08,receipt,324,KG,SUP04,22846,PUR67146
2023-02-08,M04,receipt,14,pcs,SUP08,22273,PUR16230
2023-07-25,M05,writeoff,40,Rolls,,24929,
2023-10-24,M02,receipt,38,rolls,SUP09,22308,PUR18817
2023-09-01,M10,receipt,117,kgs,SUP05,22035,PUR95398
2023-06-03,M14,issue,43,nos,,23339,
2023-07-25,M06,issue,329,Kg,,23443,
2023-10-08,M08,receipt,461,KG,SUP04,21696,PUR85608
2023-08-28,M08,issue,489,Kg,,24232,
2023-08-11,M09,receipt,382,kilograms,SUP05,23624,PUR78454
2023-03-17,M04,issue,10,Rolls,,24153,
2023-08-11,M11,receipt,173,kgs,SUP05,25279,PUR93090
2023-05-17,M04,receipt,42,roll,SUP08,21753,PUR88804
2023-02-28,M04,issue,13,Rolls,,21209,
2023-06-08,M04,receipt,32,nos,SUP08,23389,PUR65314
2023-04-14,M11,return,149,KG,,22314,
2023-05-23,M01,issue,12,pcs,,23489,
2023-09-06,M14,issue,4,rolls,,24648,
2023-06-02,M02,issue,27,rolls,,24602,
2023-02-16,M06,receipt,492,kgs,SUP03,24772,PUR40938
2023-09-14,M02,receipt,34,rolls,SUP09,23649,PUR75070
2023-03-04,M02,issue,22,roll,,24338,
2023-05-01,M10,receipt,121,kgs,SUP05,21203,PUR32957
2023-08-14,M04,writeoff,17,nos,,24630,
2023-10-01,M10,issue,368,Kg,,24498,
2023-08-05,M02,issue,44,nos,,21938,
2023-03-16,M05,return,31,roll,,24818,
2023-01-11,M06,receipt,27,kilograms,SUP03,24779,PUR98027
2023-07-16,M04,issue,41,roll,,25021,
2023-03-04,M12,issue,453,kilograms,,22055,
2023-01-05,M14,issue,17,nos,,22360,
2023-05-01,M02,return,14,roll,,24449,
2023-11-20,M03,return,50,roll,,23299,
2023-05-21,M07,receipt,431,kg,SUP03,24571,PUR71746
2023-06-20,M12,issue,458,kgs,,24849,
2023-03-24,M14,issue,33,roll,,21399,
2023-10-08,M06,issue,242,Kg,,24180,
2023-11-25,M01,receipt,41,Rolls,SUP01,22666,PUR10403
2023-06-06,M07,issue,304,Kg,,21715,
2023-09-22,M02,issue,39,Rolls,,23737,
2023-06-13,M07,receipt,254,kgs,SUP03,24956,PUR44167
2023-06-17,M03,receipt,13,roll,SUP09,21005,PUR58182
2023-07-13,M03,issue,15,pcs,,20744,
2023-11-28,M01,return,41,pcs,,21786,
2023-04-12,M02,writeoff,45,roll,,24418,
2023-11-13,M03,issue,39,nos,,21725,
2023-07-08,M03,issue,37,Rolls,,21140,
2023-08-11,M01,receipt,44,nos,SUP01,22874,PUR39423
2023-05-17,M12,issue,392,Kg,,23111,
2023-04-16,M07,issue,120,kilograms,,24754,
2023-04-07,M05,receipt,12,nos,SUP02,23560,PUR13771
2023-05-01,M05,writeoff,29,pcs,,25603,
2023-11-28,M04,issue,6,nos,,21138,
2023-06-15,M08,issue,361,kgs,,22489,
2023-08-05,M12,issue,141,kilograms,,21386,
2023-01-27,M02,receipt,16,roll,SUP09,22857,PUR89478
2023-11-03,M11,writeoff,12,kg,,22794,
2023-06-04,M09,receipt,353,kgs,SUP05,22576,PUR83342
2023-05-14,M01,receipt,33,Rolls,SUP08,22868,PUR71352
2023-09-29,M03,issue,10,nos,,21726,
2023-03-07,M02,issue,18,nos,,23992,
2023-05-25,M06,return,323,Kg,,24730,
2023-09-22,M13,return,28,roll,,25203,
2023-09-09,M03,issue,36,Rolls,,24154,
2023-08-14,M11,receipt,106,kg,SUP05,22364,PUR40128
2023-05-14,M03,issue,46,Rolls,,22573,
2023-09-11,M07,issue,236,kg,,22839,
2023-08-23,M12,receipt,67,kgs,SUP06,24551,PUR26207
2023-05-26,M06,issue,437,KG,,22022,
2023-05-20,M12,receipt,466,kilograms,SUP06,23803,PUR86486
2023-10-20,M01,receipt,27,Rolls,SUP01,24620,PUR42264
2023-02-18,M13,receipt,2,roll,SUP07,22711,PUR61664
2023-02-24,M06,receipt,88,Kg,SUP03,21451,PUR70323
2023-09-03,M14,receipt,41,nos,SUP07,25040,PUR87883
2023-01-23,M11,issue,496,kilograms,,23611,
2023-10-19,M06,return,118,KG,,24868,
2023-05-25,M01,receipt,4,roll,SUP01,23896,PUR81716
2023-07-24,M10,issue,101,Kg,,21596,
2023-02-15,M13,return,14,rolls,,22214,
2023-05-26,M07,receipt,71,KG,SUP03,22601,PUR66670
2023-06-08,M12,receipt,77,kilograms,SUP06,22557,PUR58163
2023-08-17,M09,issue,253,kgs,,22156,
2023-02-16,M10,receipt,425,kgs,SUP05,22121,PUR66899
2023-01-21,M11,issue,184,kilograms,,25742,
2023-11-28,M08,receipt,486,KG,SUP04,23648,PUR48103
2023-09-02,M08,issue,86,Kg,,22143,
2023-05-08,M11,return,228,kilograms,,22966,
2023-02-09,M10,issue,272,kg,,21053,
2023-02-18,M09,issue,348,kgs,,24007,
2023-07-01,M10,receipt,309,Kg,SUP05,20947,PUR24933
2023-04-02,M12,receipt,441,KG,SUP06,22696,PUR20917
2023-06-02,M07,return,310,Kg,,24344,
2023-08-19,M08,receipt,423,kilograms,SUP04,22705,PUR34535
2023-11-06,M04,issue,44,roll,,21531,
2023-01-03,M07,receipt,69,kgs,SUP03,21433,PUR95957
2023-07-27,M08,receipt,381,kilograms,SUP04,23613,PUR91067
2023-07-04,M14,writeoff,20,nos,,21486,
2023-04-08,M03,issue,2,rolls,,23510,
2023-04-18,M04,return,42,nos,,21690,
2023-11-17,M11,issue,107,kilograms,,22108,
2023-03-17,M05,receipt,28,nos,SUP02,21976,PUR31771
2023-08-16,M03,receipt,31,nos,SUP09,20740,PUR86706
2023-10-19,M04,issue,4,nos,,22463,
2023-08-10,M01,issue,32,nos,,23869,
2023-10-11,M10,receipt,28,Kg,SUP05,22609,PUR73714
2023-11-10,M09,receipt,128,kgs,SUP05,23982,PUR79246
2023-06-11,M01,issue,5,pcs,,21947,
2023-08-31,M11,issue,263,kg,,24306,
2023-08-12,M11,issue,92,kg,,22935,
2023-06-26,M12,issue,128,kgs,,23166,
2023-06-23,M04,receipt,46,pcs,SUP08,23786,PUR27191
2023-07-19,M05,receipt,44,nos,SUP02,24559,PUR71908
2023-03-24,M13,writeoff,14,pcs,,22703,
2023-09-05,M12,receipt,98,KG,SUP06,21904,PUR89396
2023-08-01,M08,issue,165,kgs,,22581,
2023-01-10,M04,receipt,17,roll,SUP02,22558,PUR32900
2023-09-15,M14,return,5,rolls,,22511,
2023-04-27,M07,issue,297,kg,,22296,
2023-06-24,M08,issue,403,Kg,,21811,
2023-05-17,M13,return,45,Rolls,,25125,
2023-02-23,M09,receipt,484,kg,SUP05,24932,PUR69917
2023-02-24,M14,receipt,40,pcs,SUP07,24331,PUR83724
2023-03-27,M01,receipt,14,rolls,SUP08,24581,PUR30582
2023-08-15,M12,issue,265,kilograms,,24087,
2023-11-28,M14,issue,22,roll,,24483,
2023-04-14,M03,issue,27,nos,,23810,
2023-08-31,M13,issue,19,roll,,23615,
2023-07-10,M03,issue,24,nos,,23238,
2023-09-29,M11,issue,413,kgs,,22690,
2023-07-31,M03,receipt,30,nos,SUP09,24558,PUR13901
2023-01-06,M08,issue,493,kilograms,,21905,
2023-07-25,M02,issue,28,Rolls,,21180,
2023-11-25,M07,receipt,472,KG,SUP03,23732,PUR92786
2023-09-24,M12,receipt,224,Kg,SUP06,22733,PUR51116
2023-05-24,M06,issue,322,kilograms,,25103,
2023-08-17,M03,receipt,35,Rolls,SUP09,23217,PUR55252
2023-07-27,M13,receipt,20,Rolls,SUP07,21892,PUR80442
2023-03-06,M06,issue,286,kilograms,,22495,
2023-10-10,M04,issue,34,roll,,22491,
2023-01-12,M13,receipt,35,rolls,SUP07,23973,PUR41632
2023-08-05,M14,receipt,8,pcs,SUP07,24126,PUR58887
2023-07-01,M05,receipt,4,rolls,SUP02,24985,PUR68816
2023-01-03,M05,receipt,22,nos,SUP02,22854,PUR55919
2023-10-21,M05,issue,46,Rolls,,23433,
2023-02-23,M09,receipt,274,Kg,SUP05,23442,PUR57352
2023-08-06,M08,issue,51,kgs,,21997,
2023-03-08,M01,issue,14,nos,,22677,
2023-09-27,M02,issue,38,nos,,23218,
2023-05-16,M09,receipt,265,kilograms,SUP05,23663,PUR67682
2023-09-08,M12,return,431,kgs,,21754,
2023-09-06,M03,receipt,9,nos,SUP01,24625,PUR37871
2023-03-22,M08,receipt,199,kilograms,SUP04,25395,PUR88852
2023-03-03,M14,issue,37,roll,,22314,
2023-03-02,M01,receipt,20,roll,SUP08,22383,PUR48532
2023-03-15,M08,issue,411,KG,,24035,
2023-06-06,M07,issue,120,Kg,,22128,
2023-01-02,M14,receipt,36,rolls,SUP07,22556,PUR15856
2023-06-08,M07,receipt,241,kilograms,SUP03,25066,PUR59454
2023-11-07,M08,receipt,400,KG,SUP04,22187,PUR68973
2023-06-16,M11,issue,419,kg,,24315,
2023-07-18,M11,receipt,470,KG,SUP05,23375,PUR80909
2023-08-15,M01,writeoff,42,roll,,21212,
2023-01-13,M14,issue,41,pcs,,24389,
2023-10-15,M13,receipt,42,rolls,SUP07,23838,PUR35221
2023-01-28,M10,receipt,277,kilograms,SUP05,21388,PUR75881
2023-09-30,M01,issue,2,Rolls,,21976,
2023-10-24,M13,issue,6,nos,,24852,
2023-07-25,M09,receipt,33,kilograms,SUP05,23070,PUR54558
2023-01-13,M07,issue,172,kilograms,,22943,
2023-02-20,M05,issue,11,pcs,,23055,
2023-02-15,M03,issue,20,Rolls,,24560,
2023-01-31,M07,receipt,176,kilograms,SUP03,22122,PUR17667
2023-06-13,M05,issue,27,Rolls,,25544,
2023-03-03,M06,issue,113,kg,,22314,
2023-05-02,M13,receipt,33,nos,SUP07,24628,PUR25083
2023-08-26,M05,issue,27,pcs,,22155,
2023-11-21,M08,issue,477,KG,,25249,
2023-10-28,M01,issue,16,rolls,,23975,
2023-03-06,M09,receipt,300,Kg,SUP05,22723,PUR20998
2023-04-15,M14,receipt,24,Rolls,SUP07,23341,PUR42133
2023-10-12,M09,writeoff,31,kgs,,21061,
2023-11-14,M14,receipt,42,roll,SUP07,25109,PUR10071
2023-09-04,M01,return,39,roll,,21877,
2023-06-29,M14,receipt,38,Rolls,SUP07,24571,PUR15961
2023-10-16,M03,receipt,20,rolls,SUP09,21027,PUR26118
2023-10-12,M14,issue,28,roll,,21991,
2023-06-12,M10,receipt,335,Kg,SUP05,21683,PUR45784
2023-06-14,M04,receipt,14,roll,SUP08,22979,PUR12080
2023-01-02,M12,issue,253,kilograms,,21104,
2023-07-31,M01,receipt,45,pcs,SUP08,23730,PUR61483
2023-11-29,M09,issue,285,kg,,21183,
2023-08-16,M14,receipt,23,rolls,SUP07,25109,PUR88815
2023-01-05,M06,issue,246,kg,,22850,
2023-04-24,M04,issue,49,rolls,,22247,
2023-07-03,M11,return,56,KG,,25099,
2023-04-24,M10,receipt,262,KG,SUP05,24575,PUR14822
2023-11-07,M05,receipt,1,Rolls,SUP02,22690,PUR24541
2023-09-14,M14,issue,11,nos,,23388,
2023-10-17,M04,receipt,37,pcs,SUP02,21814,PUR87091
2023-03-07,M03,receipt,37,roll,SUP01,24164,PUR78561
2023-04-09,M12,receipt,364,kg,SUP06,23863,PUR99218
2023-01-02,M09,return,338,kgs,,23814,
2023-06-15,M11,issue,442,kgs,,23422,
2023-09-23,M05,issue,32,nos,,23367,
2023-04-25,M09,receipt,152,kg,SUP05,24818,PUR79784
2023-07-20,M08,issue,181,KG,,21955,
2023-04-26,M10,receipt,500,kgs,SUP05,20917,PUR35805
2023-02-02,M03,issue,2,rolls,,22625,
2023-10-31,M07,receipt,440,Kg,SUP03,22404,PUR24134
2023-06-24,M08,issue,430,kg,,22986,
2023-02-07,M09,receipt,327,kilograms,SUP05,22853,PUR91965
2023-02-13,M08,receipt,479,kg,SUP04,21756,PUR51062
2023-03-07,M14,receipt,29,rolls,SUP07,21352,PUR90050
2023-02-22,M11,issue,296,kg,,21969,
2023-07-25,M05,receipt,40,rolls,SUP02,24967,PUR40554
2023-11-16,M14,receipt,30,rolls,SUP07,22700,PUR66112
2023-06-23,M10,receipt,242,kg,SUP05,22731,PUR87045
2023-01-07,M04,issue,46,pcs,,21372,
2023-04-10,M10,receipt,74,kilograms,SUP05,23223,PUR56581
2023-11-14,M07,receipt,105,kgs,SUP03,22374,PUR15776
2023-10-27,M01,issue,33,nos,,24781,
2023-06-09,M11,receipt,463,kilograms,SUP05,23972,PUR29321
2023-06-25,M08,issue,198,Kg,,25594,
2023-03-16,M01,receipt,16,rolls,SUP01,22927,PUR65320
2023-04-13,M06,issue,412,KG,,21613,
2023-09-01,M06,issue,317,kgs,,24169,
2023-10-17,M06,return,325,Kg,,22560,
2023-02-23,M07,issue,458,kgs,,24611,
2023-01-02,M01,receipt,45,Rolls,SUP08,21793,PUR91778
2023-06-19,M04,issue,14,nos,,22735,
2023-01-04,M03,receipt,1,roll,SUP09,20962,PUR13934
2023-05-29,M09,issue,109,kgs,,23642,
2023-07-04,M10,return,25,kg,,21428,
2023-04-23,M04,issue,47,roll,,21809,
2023-05-06,M06,receipt,110,KG,SUP03,21421,PUR44313
2023-03-12,M02,issue,42,nos,,24154,
2023-04-18,M02,issue,30,roll,,21912,
2023-03-29,M06,receipt,419,kilograms,SUP03,23885,PUR18569
2023-03-08,M02,issue,13,Rolls,,23110,
2023-06-12,M07,receipt,229,kilograms,SUP03,23984,PUR16054
2023-04-07,M13,receipt,19,pcs,SUP07,24781,PUR52949
2023-05-24,M04,issue,33,Rolls,,25062,
2023-04-18,M10,return,411,kg,,22540,
2023-02-03,M13,receipt,33,Rolls,SUP07,23136,PUR75350
2023-06-14,M09,receipt,279,Kg,SUP05,23901,PUR74853
2023-07-25,M08,issue,342,kilograms,,21769,
2023-04-14,M04,issue,16,nos,,22717,
2023-07-13,M04,issue,11,pcs,,24927,
2023-10-09,M14,issue,9,rolls,,24206,
2023-09-23,M02,issue,15,roll,,23320,
2023-11-15,M01,receipt,28,roll,SUP08,22697,PUR66689
2023-09-12,M07,issue,149,Kg,,22945,
2023-04-30,M01,issue,42,roll,,21160,
2023-05-31,M06,return,272,kilograms,,23572,
2023-05-22,M11,issue,60,KG,,22241,
2023-10-07,M02,issue,22,Rolls,,21734,
2023-06-04,M11,issue,107,Kg,,24646,
2023-10-06,M10,writeoff,14,Kg,,23767,
2023-06-27,M05,issue,26,nos,,25253,
2023-01-07,M10,receipt,344,kgs,SUP05,22712,PUR62101
2023-04-18,M04,issue,15,nos,,23208,
2023-08-28,M10,receipt,184,kgs,SUP05,23856,PUR51035
2023-08-02,M14,issue,29,Rolls,,22971,
2023-07-11,M14,receipt,37,Rolls,SUP07,24706,PUR50051
2023-07-01,M12,issue,125,Kg,,22803,
2023-07-26,M07,receipt,163,kilograms,SUP03,22714,PUR84393
2023-03-13,M13,issue,22,Rolls,,23874,
2023-11-08,M11,receipt,453,kilograms,SUP05,23357,PUR36765
2023-07-17,M07,issue,253,KG,,21823,
2023-08-20,M06,receipt,57,Kg,SUP03,22035,PUR98458
2023-11-05,M09,issue,23,kgs,,21821,
2023-07-17,M04,issue,14,roll,,22050,
2023-02-05,M05,receipt,4,nos,SUP02,23396,PUR32521
2023-07-30,M06,return,90,kgs,,21786,
2023-09-02,M03,receipt,25,rolls,SUP01,24572,PUR27030
2023-08-10,M14,issue,11,nos,,23600,
